Ratio,mA1,sA1,iA1,mA2,sA2,iA2,mA3,sA3,iA3,mA4,sA4,iA4,mA11,sA11,iA11,mA12,sA12,iA12,mA13,sA13,iA13,mA14,sA14,iA14,mA21,sA21,iA21,mA22,sA22,iA22,mA23,sA23,iA23,mA24,sA24,iA24,mA31,sA31,iA31,mA32,sA32,iA32,mA33,sA33,iA33,mA34,sA34,iA34,mA41,sA41,iA41,mA42,sA42,iA42,mA43,sA43,iA43,mA44,sA44,iA44,Label
5.360000134,160.65,39.26,62.27,0.15,14.39,15.66,0.13,5.63,6.57,-0.14,4.74,5.68,327.04,74.75,124.75,-1.77,18.24,23.36,-0.42,11.83,14.74,0.36,10.26,12.44,-0.03,17.23,16.33,-1.54,19.62,23.06,0.31,7.75,10.39,-0.51,8.74,10.49,-0.29,4.1,4.83,0.17,3.49,3.7,0.8,7.68,10.1,-0.79,6.11,8,-0.28,3.68,4.25,0.15,3.85,4.57,0.06,5.51,6.6,-0.52,5.58,7.38,1
13.80000019,101.69,37.63,54.55,0.36,14.63,15.88,0.25,6.48,7.8,-0.04,5.35,6.72,206.18,70.65,113.4,-3.09,18.59,24.68,-0.65,13.63,16.73,-0.14,11.61,14.6,0.77,16.69,16.84,-3.2,19.11,21.23,-0.57,8.5,11.56,0.75,11.04,13.86,0.12,4.63,4.98,0.43,3.91,4.38,-1.02,8.1,9.9,0.53,8.03,10.32,-0.12,3.58,4.29,-0.25,3.89,5.2,-0.22,5.69,7.35,-0.49,7.35,9.61,1
6.389999866,146.53,50.06,83.85,0.12,14.81,14.3,0.03,4.46,5.73,-0.08,4.46,5,299.65,97.72,180.22,-2.89,16.39,19.97,0.5,10.28,13.02,-0.13,9.58,12.48,1.2,17.7,16.98,-2.76,19.95,24.17,0.07,7.54,9.93,-0.24,8.89,10.66,0.11,3.06,3.44,0.11,2.82,3.5,-0.1,5.72,7.63,0.06,5.42,6.83,-0.14,3.28,3.35,-0.05,3.39,4.04,0.23,5.14,6.53,0.19,5.52,6.51,1
5.590000153,181.85,45.33,73.45,-0.49,17.7,21.29,0.11,7.05,8.54,0.1,5.54,6.67,368.52,84.05,143.17,0.45,25.49,35.2,0.49,16.3,22.43,0.65,15.27,20.12,0.54,18.31,22.18,1.94,25.57,31.42,-0.48,10.52,13.64,0.09,12.37,14.37,0.23,4.77,4.7,0.28,4.24,4.99,-0.96,9.09,11.13,-0.43,8.64,10.01,0.06,3.74,4.27,-0.06,4.15,4.76,-0.39,6.36,8.58,0.42,7.09,8.9,1
4.630000114,158.43,31.52,48.84,0.34,12.17,14.97,0.21,4.61,5.51,0.02,4.14,5.13,325.29,58.68,92.21,0.08,18.18,23.41,0.47,10.95,13.85,-0.66,8.86,11.12,0.36,14.03,16.67,-1.93,16.16,21.41,-0.06,6.68,8.96,-0.35,9.13,12.78,0.02,3.12,3.35,-0.28,2.8,3.39,0.09,5.98,7.47,0.09,5.63,6.76,0.31,2.76,3.19,0.17,3.09,3.36,-0.43,5.2,7.47,-0.15,4.94,6.42,1
8.100000381,140.98,47.04,67.32,0.22,13.77,17.31,0.09,7.83,7.19,0,5.26,6.31,284.85,89.55,125.1,0.46,21.9,24.92,1.18,14.54,15.81,0.13,11.71,16.57,-0.75,15.58,18.08,-1.13,18.38,25.76,1.04,8.12,11.74,-0.5,10.3,12.65,0.06,8.55,5.34,0.33,3.53,4.41,0.15,10.4,10.26,1.58,6.75,8.45,-0.08,3.49,3.79,-0.19,3.85,4.83,-0.25,6.28,8.27,0.37,6.65,8.09,1
4.809999943,151.56,27.33,35.28,0,12.23,16.38,0.03,4.7,5.62,-0.01,4.12,4.92,302.86,49.77,57.19,-1.69,20.64,27.11,0.13,11.57,14.92,-0.06,11.41,14.69,0.95,14.91,17.24,1.59,17.42,21.03,-0.26,7.61,10.09,1.02,9.7,11.87,0.11,4.04,4.13,-0.05,3.11,2.84,0.23,6.14,7.35,-0.48,5.76,7.13,-0.08,2.58,2.83,0.15,3.01,3.19,-0.13,4.48,6.25,-0.43,5.95,7.25,1
5.320000172,125.82,29.21,48.76,0.27,11.5,14.68,-0.02,4.03,4.46,0.09,3.17,3.55,255.5,53.6,92.85,-2.13,20.39,27.03,0.2,10.33,14.91,0.13,8.87,11.92,2.54,14.96,16.46,-0.99,16.06,20.29,-0.28,6.42,8.6,0.31,8.14,10.91,0.05,4.37,2.52,0.11,2.73,2.87,0.12,5.83,6.46,0.31,4.33,5.05,-0.16,1.95,2.11,0.12,2.85,2.57,0.04,3.56,4.43,0.33,4.52,5.17,1
6.139999866,147.67,27.28,35.38,-0.39,13.1,16.15,-0.06,4.45,5.15,0.05,3.49,4.23,297.03,49.67,56.08,-2.98,21.76,26.5,-0.94,11.05,15.69,-0.53,10.27,13.18,1.36,15.82,18.52,1.75,20.67,22.77,-0.19,7.94,8.98,0.29,8.83,11.08,-0.11,3.63,2.99,-0.01,3.74,2.77,0.41,5.92,7.15,-0.37,5.4,7.04,0.22,2.44,2.91,0.07,2.94,3,-0.35,4.05,5.1,-0.53,4.7,6.48,1
4.260000229,180.75,39.66,64.23,0.02,15.16,20.04,0.41,6.33,7.55,-0.02,5.12,6.19,361.01,73.34,127.52,-0.34,25.55,32.82,0.94,14.83,20.03,-0.97,13.22,16.96,1.37,18.34,20.29,-1.38,21.56,28.8,0.27,9.37,11.92,-0.89,11.68,14.22,0.18,5.11,5.34,-0.14,4.55,4.91,1.09,7.88,10.27,0.08,7.8,9.77,-0.19,3.37,4.45,0.05,4,4.45,0.51,5.8,8,0.06,6.82,7.54,1
8.880000114,141.13,37.8,56.17,0.67,14.7,19.05,-0.05,5.85,7.32,-0.13,5.47,6.88,284.23,70.94,112.64,1.92,22.15,29.68,-1.04,14.55,18.08,-1.13,12.28,16.77,3.52,17.91,20.89,2.59,21.16,26.9,-0.47,9.21,10.95,-0.12,11.08,15.62,-0.28,5.14,4.47,0.3,3.74,4.49,0.1,7.84,9.31,0.11,6.82,9.21,-0.2,3.66,4.41,-0.18,4.05,4.46,0.34,6.34,7.84,0.46,7.42,8.8,1
25.17000008,104.99,42.4,62.57,0.76,12.87,16.55,0.06,8.41,7.47,0.03,5.28,6.72,210.1,81.72,129.86,-1.23,20.8,26.79,-0.3,13.86,17.22,-0.1,11.73,15.75,1.07,14.31,18.05,-2.23,17.58,24.83,-0.64,8.72,11.8,-0.22,10.32,14.87,0.51,12.22,5.3,0.18,4.18,4.7,-0.15,13.18,10.06,0.25,7.65,8.42,-0.1,3.61,4.08,-0.11,4.48,4.86,0.33,5.91,7.86,0.61,7.24,8.87,1
4.519999981,172,41.77,54.89,0.56,12.76,15.95,0.03,7.13,7.5,-0.14,4.5,5.65,344.62,78.1,107.27,-0.56,22.45,31.17,-0.61,14.97,20.16,-0.19,13.03,16.9,1.87,13.96,16.67,0.86,18.71,23.93,0.31,8.13,11.47,0.25,10.28,13.12,-0.08,9.47,5.32,0.09,4.29,4.37,0.38,10.85,11.05,-0.04,6.81,9.39,-0.01,2.84,3.58,0.14,3.68,4.2,0.15,4.78,6.71,0.01,6.36,6.9,1
7.420000076,142.08,33.22,46.36,0.35,14.27,19.17,0.36,6.06,7.57,-0.05,5.16,6.3,284.71,60.6,85.9,0.25,23.48,32.55,0.12,14.59,20.17,-0.33,12.4,15,1.04,16.5,18.05,3.26,19.45,28.62,0.08,9.45,12.84,-0.53,11.22,14.74,0.32,5.26,4.99,0.4,3.93,3.92,0.57,8.15,9.29,0.41,6.84,8.27,-0.17,3.58,4.47,0.14,4.71,4.71,0.31,5.57,7.02,-0.01,6.92,8.48,1
10.75,102.3,34.12,51.5,0.78,12.84,15.67,0.38,5.44,6.21,-0.1,4.69,5.75,207.17,64.66,97.54,-1.77,18.43,24.36,-0.52,11.94,15.85,-0.24,10.31,12.07,2.22,16.53,16.82,-0.06,18.48,22.32,0.57,7.88,9.78,-0.17,9.05,12.53,0.28,5.47,4.67,-0.24,3.74,3.97,-0.66,7.77,10.41,0.5,5.81,6.54,0.18,3.7,3.51,-0.07,4.06,4.01,-0.05,5.41,7.28,0.05,6.16,8.15,1
6.079999924,154.44,32.16,49.63,-0.32,13.62,17.61,-0.11,6.89,7.71,0.2,5.48,6.97,308.57,58,96.98,-4.02,20.16,26.1,-1.27,14.04,18.64,-0.13,12.36,16.69,-1.89,14.42,17.13,-1.23,17.68,22.85,0.42,9.32,12.84,0.69,11.45,14.8,0.11,6.21,5.13,0.25,3.89,5.18,0.76,8.82,10.77,0.65,7.47,9.46,0.3,3.65,4.6,-0.26,4.44,5.34,-0.03,6.2,8.56,-0.34,6.93,9.66,1
